physical,social,cognitive,minigame,funratio
1,0,0,1,5.0
0,0,5,0,1.0
0,0,5,0,1.0
1,8,3,0,7.0
7,3,3,0,8.333333333333334
2,10,5,1,8.6
6,2,5,1,9.8
3,11,2,0,6.833333333333333
7,12,5,0,7.8
6,11,6,0,13.4
6,10,6,0,10.5
10,10,6,0,7.7
7,14,5,0,7.125
8,7,5,0,6.384615384615385
9,13,6,0,9.1
10,12,3,0,6.0
10,11,4,0,7.375
13,17,4,0,7.769230769230769
8,11,3,0,14.166666666666666
7,8,4,0,6.75
9,19,5,0,9.357142857142858
9,16,16,0,5.266666666666667
9,11,0,0,5.75
8,11,0,0,9.0
10,9,0,0,7.875
7,17,0,0,16.0
8,14,0,0,11.125
11,13,5,0,6.4
6,15,0,0,10.25
13,13,0,0,8.083333333333334
10,10,0,0,6.4375
