physical,social,cognitive,minigame,funratio
1,1,2,0,5.333333333333333
2,2,2,0,12.666666666666666
3,6,6,0,9.25
8,8,5,0,7.714285714285714
12,6,6,0,8.166666666666666
9,10,12,0,7.833333333333333
11,16,9,0,6.1
13,13,11,0,6.647058823529412
19,10,12,0,9.19047619047619
20,12,16,0,7.619047619047619
19,13,14,0,9.133333333333333
25,15,18,0,9.173913043478262
22,16,20,0,9.0
26,17,20,0,6.0
25,21,23,0,6.827586206896552
26,20,22,0,7.379310344827586
27,21,22,0,6.7272727272727275
28,22,31,0,5.527777777777778
29,23,24,0,7.53125
30,27,30,0,7.088888888888889
30,25,27,0,8.86111111111111
30,27,27,0,5.027027027027027
31,33,26,0,5.9714285714285715
30,26,26,0,6.921052631578948
30,29,28,0,6.7
33,27,27,0,6.545454545454546
35,29,26,0,6.264705882352941
30,34,30,0,7.395348837209302
33,27,26,0,7.548387096774194
30,25,26,0,4.738095238095238
30,33,26,0,6.636363636363637
