domain_size,level,category,plan_length,generation_time,status
15,0,physical,1,0.3973228931427002,SOLVED_OPTIMALLY
15,0,social,0,0.27098727226257324,SOLVED_OPTIMALLY
15,0,cognitive,2,0.37746262550354004,SOLVED_OPTIMALLY
15,1,physical,2,0.39257383346557617,SOLVED_OPTIMALLY
15,1,social,2,0.40496325492858887,SOLVED_OPTIMALLY
15,1,cognitive,2,0.33346009254455566,SOLVED_OPTIMALLY
15,2,physical,2,0.2935330867767334,SOLVED_OPTIMALLY
15,2,social,2,0.3466641902923584,SOLVED_OPTIMALLY
15,2,cognitive,2,0.32738566398620605,SOLVED_OPTIMALLY
15,3,physical,1,0.2809762954711914,SOLVED_OPTIMALLY
15,3,social,1,0.29954957962036133,SOLVED_OPTIMALLY
15,3,cognitive,1,0.3160076141357422,SOLVED_OPTIMALLY
15,4,physical,1,0.27120518684387207,SOLVED_OPTIMALLY
15,4,social,1,0.2934300899505615,SOLVED_OPTIMALLY
15,4,cognitive,2,0.30236077308654785,SOLVED_OPTIMALLY
15,5,physical,1,0.29766106605529785,SOLVED_OPTIMALLY
15,5,social,1,0.26682162284851074,SOLVED_OPTIMALLY
15,5,cognitive,1,0.27788472175598145,SOLVED_OPTIMALLY
15,6,physical,3,0.3408033847808838,SOLVED_OPTIMALLY
15,6,social,1,0.3106539249420166,SOLVED_OPTIMALLY
15,6,cognitive,1,0.2618677616119385,SOLVED_OPTIMALLY
15,7,physical,2,0.27449893951416016,SOLVED_OPTIMALLY
15,7,social,1,0.26637768745422363,SOLVED_OPTIMALLY
15,7,cognitive,1,0.26421046257019043,SOLVED_OPTIMALLY
15,8,physical,2,0.3254251480102539,SOLVED_OPTIMALLY
15,8,social,1,0.270214319229126,SOLVED_OPTIMALLY
15,8,cognitive,1,0.25647425651550293,SOLVED_OPTIMALLY
15,9,physical,2,0.298861026763916,SOLVED_OPTIMALLY
15,9,social,1,0.2815091609954834,SOLVED_OPTIMALLY
15,9,cognitive,1,0.2717001438140869,SOLVED_OPTIMALLY
15,10,physical,2,0.333601713180542,SOLVED_OPTIMALLY
15,10,social,1,0.2542459964752197,SOLVED_OPTIMALLY
15,10,cognitive,1,0.2695751190185547,SOLVED_OPTIMALLY
15,11,physical,2,0.35728979110717773,SOLVED_OPTIMALLY
15,11,social,1,0.2966735363006592,SOLVED_OPTIMALLY
15,11,cognitive,2,0.3151865005493164,SOLVED_OPTIMALLY
15,12,physical,2,0.2829420566558838,SOLVED_OPTIMALLY
15,12,social,2,0.30208492279052734,SOLVED_OPTIMALLY
15,12,cognitive,2,0.3085634708404541,SOLVED_OPTIMALLY
15,13,physical,2,0.3015305995941162,SOLVED_OPTIMALLY
15,13,social,2,0.3015787601470947,SOLVED_OPTIMALLY
15,13,cognitive,3,0.30544352531433105,SOLVED_OPTIMALLY
