domain_size,level,category,plan_length,generation_time,status
15,0,physical,1,0.27326250076293945,SOLVED_OPTIMALLY
15,0,social,0,0.24913930892944336,SOLVED_OPTIMALLY
15,0,cognitive,0,0.24335885047912598,SOLVED_OPTIMALLY
15,1,physical,2,0.2972373962402344,SOLVED_OPTIMALLY
15,1,social,1,0.26262593269348145,SOLVED_OPTIMALLY
15,1,cognitive,1,0.296832799911499,SOLVED_OPTIMALLY
15,2,physical,2,0.27919864654541016,SOLVED_OPTIMALLY
15,2,social,1,0.27181148529052734,SOLVED_OPTIMALLY
15,2,cognitive,1,0.25891900062561035,SOLVED_OPTIMALLY
15,3,physical,1,0.2681727409362793,SOLVED_OPTIMALLY
15,3,social,1,0.2610764503479004,SOLVED_OPTIMALLY
15,3,cognitive,1,0.27048540115356445,SOLVED_OPTIMALLY
15,4,physical,1,0.2672615051269531,SOLVED_OPTIMALLY
15,4,social,1,0.25934886932373047,SOLVED_OPTIMALLY
15,4,cognitive,1,0.25332140922546387,SOLVED_OPTIMALLY
15,5,physical,2,0.2861313819885254,SOLVED_OPTIMALLY
15,5,social,1,0.25290751457214355,SOLVED_OPTIMALLY
15,5,cognitive,1,0.27289533615112305,SOLVED_OPTIMALLY
15,6,physical,2,0.2797729969024658,SOLVED_OPTIMALLY
15,6,social,1,0.3001880645751953,SOLVED_OPTIMALLY
15,6,cognitive,1,0.27063965797424316,SOLVED_OPTIMALLY
15,7,physical,2,0.2843763828277588,SOLVED_OPTIMALLY
15,7,social,1,0.25377821922302246,SOLVED_OPTIMALLY
15,7,cognitive,1,0.2824668884277344,SOLVED_OPTIMALLY
15,8,physical,2,0.294649600982666,SOLVED_OPTIMALLY
15,8,social,1,0.2749214172363281,SOLVED_OPTIMALLY
15,8,cognitive,1,0.2668650150299072,SOLVED_OPTIMALLY
15,9,physical,2,0.2999715805053711,SOLVED_OPTIMALLY
15,9,social,1,0.27303218841552734,SOLVED_OPTIMALLY
15,9,cognitive,1,0.24344778060913086,SOLVED_OPTIMALLY
15,10,physical,2,0.2850983142852783,SOLVED_OPTIMALLY
15,10,social,1,0.27840375900268555,SOLVED_OPTIMALLY
15,10,cognitive,2,0.25748205184936523,SOLVED_OPTIMALLY
15,11,physical,2,0.28569650650024414,SOLVED_OPTIMALLY
15,11,social,2,0.2735612392425537,SOLVED_OPTIMALLY
15,11,cognitive,2,0.25371885299682617,SOLVED_OPTIMALLY
15,12,physical,2,0.27433156967163086,SOLVED_OPTIMALLY
15,12,social,2,0.2896568775177002,SOLVED_OPTIMALLY
15,12,cognitive,2,0.27829670906066895,SOLVED_OPTIMALLY
15,13,physical,2,0.2914566993713379,SOLVED_OPTIMALLY
15,13,social,2,0.27529072761535645,SOLVED_OPTIMALLY
15,13,cognitive,2,0.2854464054107666,SOLVED_OPTIMALLY
15,14,physical,3,0.27889037132263184,SOLVED_OPTIMALLY
15,14,social,1,0.25810861587524414,SOLVED_OPTIMALLY
15,14,cognitive,2,0.2639462947845459,SOLVED_OPTIMALLY
15,15,physical,3,0.3038151264190674,SOLVED_OPTIMALLY
15,15,social,1,0.2633538246154785,SOLVED_OPTIMALLY
15,15,cognitive,2,0.2827317714691162,SOLVED_OPTIMALLY
15,16,physical,4,0.30980944633483887,SOLVED_OPTIMALLY
15,16,social,2,0.34438538551330566,SOLVED_OPTIMALLY
15,16,cognitive,2,0.30434346199035645,SOLVED_OPTIMALLY
15,17,physical,3,0.30285191535949707,SOLVED_OPTIMALLY
15,17,social,1,0.2645742893218994,SOLVED_OPTIMALLY
15,17,cognitive,2,0.26811671257019043,SOLVED_OPTIMALLY
15,18,physical,3,0.30080747604370117,SOLVED_OPTIMALLY
15,18,social,2,0.29609203338623047,SOLVED_OPTIMALLY
15,18,cognitive,2,0.2579967975616455,SOLVED_OPTIMALLY
15,19,physical,3,0.2801218032836914,SOLVED_OPTIMALLY
15,19,social,3,0.2876698970794678,SOLVED_OPTIMALLY
15,19,cognitive,3,0.2890193462371826,SOLVED_OPTIMALLY
15,20,physical,3,0.27104783058166504,SOLVED_OPTIMALLY
15,20,social,3,0.29308581352233887,SOLVED_OPTIMALLY
15,20,cognitive,3,0.2879066467285156,SOLVED_OPTIMALLY
15,21,physical,3,0.28401875495910645,SOLVED_OPTIMALLY
15,21,social,2,0.2931647300720215,SOLVED_OPTIMALLY
15,21,cognitive,2,0.263568639755249,SOLVED_OPTIMALLY
15,22,physical,4,0.2973315715789795,SOLVED_OPTIMALLY
15,22,social,2,0.29451990127563477,SOLVED_OPTIMALLY
15,22,cognitive,3,0.27486276626586914,SOLVED_OPTIMALLY
15,23,physical,4,0.3119204044342041,SOLVED_OPTIMALLY
15,23,social,3,0.3089413642883301,SOLVED_OPTIMALLY
15,23,cognitive,3,0.3061816692352295,SOLVED_OPTIMALLY
15,24,physical,3,0.278536319732666,SOLVED_OPTIMALLY
15,24,social,2,0.2876405715942383,SOLVED_OPTIMALLY
15,24,cognitive,3,0.30352330207824707,SOLVED_OPTIMALLY
15,25,physical,5,0.3041238784790039,SOLVED_OPTIMALLY
15,25,social,3,0.31197071075439453,SOLVED_OPTIMALLY
15,25,cognitive,3,0.2785329818725586,SOLVED_OPTIMALLY
15,26,physical,4,0.2822718620300293,SOLVED_OPTIMALLY
15,26,social,2,0.33152103424072266,SOLVED_OPTIMALLY
15,26,cognitive,3,0.28723597526550293,SOLVED_OPTIMALLY
15,27,physical,5,0.2801635265350342,SOLVED_OPTIMALLY
15,27,social,3,0.30785369873046875,SOLVED_OPTIMALLY
15,27,cognitive,4,0.28835368156433105,SOLVED_OPTIMALLY
15,28,physical,5,0.301713228225708,SOLVED_OPTIMALLY
15,28,social,2,0.3293631076812744,SOLVED_OPTIMALLY
15,28,cognitive,3,0.275958776473999,SOLVED_OPTIMALLY
15,29,physical,5,0.2718961238861084,SOLVED_OPTIMALLY
15,29,social,4,0.28359222412109375,SOLVED_OPTIMALLY
15,29,cognitive,5,0.30821776390075684,SOLVED_OPTIMALLY
