Activities,METScore,Type,Frequency,CurrentCost,CostIncrease,Steps,StepsAggregate
Put_on_your_walking_shoes_and_take_a_picture_of_them,2,physical,1,0,1,,
Take_a_15-minute_walk_without_stopping,2,physical,5,0,1,,
Take_between_1500_and_2500_steps,6,physical,1,0,1,1500.0,
Take_a_25-minute_walk_without_stopping,6,physical,1,0,1,,
Walk_9000_steps_in_a_day,10,physical,4,0,1,,9000.0
Take_a_45-minute_walk_without_stopping,6,physical,1,0,1,,
Complete_this_7-minute_workout_,10,physical,2,0,1,,
Watch_Video_on_physical_activity,1,general,2,0,1,,
Call_a_friend,1,social,2,0,1,,
Go_to_a_social_event,2,social,1,0,1,,
Engage_with_others,4,social,1,0,1,,
Talk_to_a_family_member,1,social,2,0,1,,
Share_an_article,2,social,1,0,1,,
Join_a_community_event,10,social,2,0,1,,
Engage_with_an_old_friend,4,social,1,0,1,,
Do_a_5_min_yoga_session,5,cognitive,1,0,1,,
Learn_a_new_word,1,cognitive,1,0,1,,
Complete_a_puzzle,4,cognitive,1,0,1,,
Practice_meditation,1,cognitive,1,0,1,,
Practice_learning_a_new_skill,2,cognitive,1,0,1,,
Practice_a_memory_game,4,cognitive,1,0,1,,
Practice_creative_writing,6,cognitive,1,0,1,,
Go_on_a_peaceful_walk,2,cognitive,1,0,1,,
