domain_size,level,category,plan_length,plan_cost,generation_time,status
,0,physical,1,15,0.2860078811645508,SOLVED_OPTIMALLY
,0,social,1,5,0.23797321319580078,SOLVED_OPTIMALLY
,0,cognitive,1,2,0.23695755004882812,SOLVED_OPTIMALLY
,1,physical,2,15,0.2651944160461426,SOLVED_OPTIMALLY
,1,social,1,8,0.25590038299560547,SOLVED_OPTIMALLY
,1,cognitive,1,5,0.2371654510498047,SOLVED_OPTIMALLY
,2,physical,2,30,0.27186012268066406,SOLVED_OPTIMALLY
,2,social,1,8,0.24031567573547363,SOLVED_OPTIMALLY
,2,cognitive,1,5,0.24424004554748535,SOLVED_OPTIMALLY
,3,physical,2,27,0.26693058013916016,SOLVED_OPTIMALLY
,3,social,1,10,0.23238182067871094,SOLVED_OPTIMALLY
,3,cognitive,2,6,0.26227712631225586,SOLVED_OPTIMALLY
,4,physical,2,35,0.27504444122314453,SOLVED_OPTIMALLY
,4,social,1,11,0.2527790069580078,SOLVED_OPTIMALLY
,4,cognitive,2,13,0.2532937526702881,SOLVED_OPTIMALLY
,5,physical,2,52,0.2573235034942627,SOLVED_OPTIMALLY
,5,social,1,14,0.2466435432434082,SOLVED_OPTIMALLY
,5,cognitive,2,19,0.26207542419433594,SOLVED_OPTIMALLY
,6,physical,3,65,0.2653539180755615,SOLVED_OPTIMALLY
,6,social,2,21,0.2563357353210449,SOLVED_OPTIMALLY
,6,cognitive,3,25,0.2652018070220947,SOLVED_OPTIMALLY
,7,physical,2,80,0.28123903274536133,SOLVED_OPTIMALLY
,7,social,2,24,0.2525782585144043,SOLVED_OPTIMALLY
,7,cognitive,2,21,0.26933979988098145,SOLVED_OPTIMALLY
,8,physical,5,86,0.2872581481933594,SOLVED_OPTIMALLY
,8,social,2,30,0.2723066806793213,SOLVED_OPTIMALLY
,8,cognitive,2,30,0.24385523796081543,SOLVED_OPTIMALLY
,9,physical,3,100,0.25109004974365234,SOLVED_OPTIMALLY
,9,social,2,30,0.26938796043395996,SOLVED_OPTIMALLY
,9,cognitive,3,37,0.2567460536956787,SOLVED_OPTIMALLY
,10,physical,5,122,0.3012068271636963,SOLVED_OPTIMALLY
,10,social,2,34,0.264890193939209,SOLVED_OPTIMALLY
,10,cognitive,4,47,0.2849247455596924,SOLVED_OPTIMALLY
,11,physical,5,133,0.26805949211120605,SOLVED_OPTIMALLY
,11,social,4,46,0.26157093048095703,SOLVED_OPTIMALLY
,11,cognitive,4,54,0.2706112861633301,SOLVED_OPTIMALLY
,12,physical,3,150,0.24692559242248535,SOLVED_OPTIMALLY
,12,social,2,46,0.2540569305419922,SOLVED_OPTIMALLY
,12,cognitive,5,59,0.2895357608795166,SOLVED_OPTIMALLY
,13,physical,5,163,0.33446550369262695,SOLVED_OPTIMALLY
,13,social,3,55,0.26140809059143066,SOLVED_OPTIMALLY
,13,cognitive,6,69,0.3448450565338135,SOLVED_OPTIMALLY
,14,physical,7,203,0.3839151859283447,SOLVED_OPTIMALLY
,14,social,3,68,0.2857553958892822,SOLVED_OPTIMALLY
,14,cognitive,4,79,0.2901146411895752,SOLVED_OPTIMALLY
,15,physical,6,212,0.3291184902191162,SOLVED_OPTIMALLY
,15,social,2,70,0.26651549339294434,SOLVED_OPTIMALLY
,15,cognitive,4,97,0.2508387565612793,SOLVED_OPTIMALLY
,16,physical,6,241,0.3746614456176758,SOLVED_OPTIMALLY
,16,social,3,82,0.28600287437438965,SOLVED_OPTIMALLY
,16,cognitive,7,106,0.3151266574859619,SOLVED_OPTIMALLY
,17,physical,6,276,0.31913328170776367,SOLVED_OPTIMALLY
,17,social,3,83,0.2747344970703125,SOLVED_OPTIMALLY
,17,cognitive,4,130,0.2716658115386963,SOLVED_OPTIMALLY
,18,physical,6,335,0.32735157012939453,SOLVED_OPTIMALLY
,18,social,3,100,0.25857996940612793,SOLVED_OPTIMALLY
,18,cognitive,8,147,0.285858154296875,SOLVED_OPTIMALLY
,19,physical,8,356,0.32965707778930664,SOLVED_OPTIMALLY
,19,social,3,95,0.2540435791015625,SOLVED_OPTIMALLY
,19,cognitive,7,152,0.2773895263671875,SOLVED_OPTIMALLY
,20,physical,4,366,0.23914837837219238,SOLVED_OPTIMALLY
,20,social,4,108,0.26346302032470703,SOLVED_OPTIMALLY
,20,cognitive,6,183,0.32032155990600586,SOLVED_OPTIMALLY
,21,physical,6,392,0.32515406608581543,SOLVED_OPTIMALLY
,21,social,4,131,0.2906477451324463,SOLVED_OPTIMALLY
,21,cognitive,8,208,0.3217196464538574,SOLVED_OPTIMALLY
,22,physical,9,464,0.3537328243255615,SOLVED_OPTIMALLY
,22,social,5,136,0.27333712577819824,SOLVED_OPTIMALLY
,22,cognitive,6,223,0.31304001808166504,SOLVED_OPTIMALLY
,23,physical,11,503,0.3990147113800049,SOLVED_OPTIMALLY
,23,social,4,152,0.3007175922393799,SOLVED_OPTIMALLY
,23,cognitive,8,260,0.3659095764160156,SOLVED_OPTIMALLY
,24,physical,7,562,0.2920074462890625,SOLVED_OPTIMALLY
,24,social,5,162,0.29783010482788086,SOLVED_OPTIMALLY
,24,cognitive,9,269,0.37587428092956543,SOLVED_OPTIMALLY
,25,physical,7,599,0.3210916519165039,SOLVED_OPTIMALLY
,25,social,5,185,0.264085054397583,SOLVED_OPTIMALLY
,25,cognitive,9,318,0.3280019760131836,SOLVED_OPTIMALLY
