Activities,METScore,Type,Frequency,CurrentCost,CostIncrease,Steps,StepsAggregate,FunScore
Put_on_your_walking_shoes_and_take_a_picture_of_them,1,physical,1,0,1,,,1
Take_a_15-minute_walk_without_stopping,1,physical,1,0,1,,,10
Take_between_1500_and_2500_steps,1,physical,1,0,1,1500.0,,1
Take_100_steps,1,physical,1,0,1,100,,2
Take_200_steps,1,physical,1,0,1,200,,2
Take_300_steps,1,physical,1,0,1,300,,20
Take_400_steps,1,physical,1,0,1,400,,2
Take_a_25-minute_walk_without_stopping,6,physical,1,0,1,,,10
Call_a_friend,1,social,1,0,1,,,6
Go_to_a_social_event,1,social,1,0,1,,,20
Engage_with_others,1,social,1,0,1,,,3
Talk_to_a_family_member,1,social,1,0,1,,,2
Say_hi_to_a_colleague,1,social,1,0,1,,,10
Share_an_article,1,social,1,0,1,,,2
Cook_dinner_for_someone,1,social,1,0,1,,,5
Enjoy_an_activity_with_a_family_member,1,social,1,0,1,,,6
Go_on_a_group_activity,5,social,1,0,1,,,4
Join_a_community_event,10,social,1,0,1,,,30
Plan_an_event_with_others,7,social,1,0,1,,,4
Practice_meditation,1,cognitive,1,0,1,,,20
Practice_learning_a_new_skill,2,cognitive,1,0,1,,,2
Practice_a_memory_game,4,cognitive,1,0,1,,,3
Learn_a_new_phrase,1,cognitive,1,0,1,,,1
Watch_a_documentary,3,cognitive,1,0,1,,,2
Practice_a_brain_game,1,cognitive,1,0,1,,,20
Attend_or_watch_a_lecture,5,cognitive,1,0,1,,,1
Practice_creative_writing,6,cognitive,1,0,1,,,6
Go_on_a_peaceful_walk,2,cognitive,1,0,1,,,4
Confusing_arrows,1,minigame,1,0,1,,,10
Polygon_Escape,1,minigame,1,0,1,,,10
